title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Dhan Dhana Dhan Goal,TV,2007,TV-14,SuperHD,"John Abraham, Bipasha Basu, Arshad Warsi, Shernaz Patel",Vivek Agnihotri,,4.9,156,70084775,2018-11-01,"In a last-ditch effort, the jaded coach of the Southall United Football Club assembles a ragtag team and helps lead the team to a comeback season.",0,hindi
Dharmakshetra,TV,2014,TV-PG,SuperHD,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora",,,7.8,,80102266,2018-06-01,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",0,hindi
Dhia Sofea,TV,2015,TV-14,SuperHD,"Amyra Rosli, Fadlan Hazim, Maria Farida, Sharifah Haslinda",,,N,,80180601,2017-12-01,"After discovering that she was adopted as an infant, a young woman embarks on a perilous quest to connect with her biological mother.",0,hindi
Dhobi Ghat (Mumbai Diaries),TV,2010,TV-MA,SuperHD,"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik",Kiran Rao,,7.0,102,70144331,2017-12-08,"In this intimate drama, circumstances draw together four people from different castes -- which would normally preclude them from forming friendships.",0,hindi
Dhoondte Reh Jaoge,TV,2009,TV-14,SuperHD,"Paresh Rawal, Kunal Khemu, Sonu Sood, Soha Ali Khan",Umesh Shukla,,5.6,124,70114588,2018-11-01,"An accountant and a producer hatch a scheme to finance a movie, while making every effort to ensure that it flops so they may pocket the difference.",0,hindi
Diablero,TV,2018,TV-MA,UltraHD,"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri, Fátima Molina",,,6.6,,80172145,2018-12-21,"When a young girl goes missing in a big city, a desperate priest joins a demon hunter and his motley crew on an otherworldly mission to find her.",1,spanish
Diagnosis,TV,2019,TV-14,UltraHD,Lisa Sanders,,,7.8,,80201543,2019-08-16,Dr. Lisa Sanders crowdsources diagnoses for mysterious and rare medical conditions in a documentary series based on her New York Times Magazine column.,1,english
Diamond City ,TV,,TV-MA,,"Noxee Maqashalala, Angela Sithole, Nambitha Ben-Mazwi, Thabang Molaba, Lehlohonolo Makoko, Ilse Klink",,Drama,,,81244679,2020-12-18,A prominent prosecuting attorney must defend her innocence -- and her life -- when she's set up and sent to prison as she investigates a conspiracy.,0,english
Diamond Lover,TV,2015,TV-PG,SuperHD,"Rain, Tiffany Tang, Luo Jin, Dilraba Dilmurat",,,6.2,,80160516,2017-07-07,"After an accident leads to great weight loss, once-obese Mi Duo embarks on a new life working for her secret crush, diamond company CEO Xiao Liang.",0,mandarin
Diana: 7 Days That Shook the World,TV,2017,TV-14,SuperHD,James D'Arcy,Ben Ryder,,7.4,93,80195835,2017-07-28,"This illuminating documentary examines the aftermath of Princess Diana’s tragic death and the tense, dramatic week leading up to her funeral.",0,english
Die Ontwaking,TV,2015,TV-MA,SuperHD,"Gys de Villiers, Juanita de Villiers, Gérard Rudolf, Paul Eilers",Johnny Breedt,,4.8,89,81219446,2020-01-24,An inexperienced murder detective joins a desperate search for a deranged serial killer who possesses a deep obsession with young women’s skin.,0,other
